epoca,accuracy,loss,precision,recall,roc_auc,val_accuracy,val_loss,val_precision,val_recall,val_roc_auc
1,0.7714651823043823,0.4800201654434204,0.7881459593772888,0.9401110410690308,0.7730423808097839,0.7629233598709106,0.40665486454963684,0.8914285898208618,0.7665847539901733,0.8555713295936584
2,0.8404527902603149,0.3476822078227997,0.9129629731178284,0.8641542792320251,0.8989111185073853,0.8110516667366028,0.37735238671302795,0.9263455867767334,0.8034397959709167,0.8760250210762024
3,0.8733447194099426,0.3102503716945648,0.9314024448394775,0.8924919366836548,0.9212425351142883,0.8217468857765198,0.36245623230934143,0.9323943853378296,0.8132678270339966,0.8942691087722778
4,0.8914993405342102,0.27089449763298035,0.9365079402923584,0.9135261178016663,0.9408578872680664,0.8894830942153931,0.2731919586658478,0.9367088675498962,0.9090909361839294,0.9438878297805786
5,0.9011106491088867,0.24632693827152252,0.9360636472702026,0.9281331896781921,0.9517446160316467,0.8591800332069397,0.324928343296051,0.8504273295402527,0.977886974811554,0.9404655694961548
6,0.910081148147583,0.22612367570400238,0.9438202381134033,0.9325153231620789,0.9583898782730103,0.8680927157402039,0.29391342401504517,0.9716714024543762,0.8427518606185913,0.9485066533088684
7,0.9147800207138062,0.20809997618198395,0.94733726978302,0.9354367256164551,0.9651257395744324,0.9073083996772766,0.2242368757724762,0.9339853525161743,0.9385749101638794,0.9626584053039551
8,0.9211875200271606,0.1987108737230301,0.9491176605224609,0.942740261554718,0.9686968922615051,0.9001782536506653,0.22657477855682373,0.9630606770515442,0.8968058824539185,0.9662162065505981
9,0.9250320196151733,0.186510369181633,0.9528301954269409,0.9442009925842285,0.9719531536102295,0.9108734130859375,0.20453500747680664,0.9322034120559692,0.9459459185600281,0.9686970114707947
10,0.9318667054176331,0.1756652444601059,0.9591715931892395,0.9471223950386047,0.9747301936149597,0.916221022605896,0.19523271918296814,0.9455445408821106,0.9385749101638794,0.9710503816604614
11,0.9322938919067383,0.17156915366649628,0.9594674706459045,0.9474145770072937,0.9762190580368042,0.9233511686325073,0.18844358623027802,0.9527363181114197,0.9410319328308105,0.9749193787574768
12,0.9406236410140991,0.15210044384002686,0.9634541869163513,0.9550102353096008,0.9814343452453613,0.8770053386688232,0.2870785593986511,0.9856321811676025,0.8427518606185913,0.9747520089149475
13,0.9410508275032043,0.14690430462360382,0.9618432521820068,0.9573473334312439,0.9825718402862549,0.9126559495925903,0.2003812938928604,0.9735449552536011,0.9041768908500671,0.9774720668792725
14,0.9455360770225525,0.14487211406230927,0.9650616645812988,0.9602687954902649,0.9827769994735718,0.9126559495925903,0.22550737857818604,0.9811828136444092,0.8968058824539185,0.9783496260643005
15,0.9564288854598999,0.12002851814031601,0.9710271954536438,0.9693251252174377,0.9870373606681824,0.9233511686325073,0.20470574498176575,0.9789473414421082,0.914004921913147,0.9800328612327576
16,0.9570696353912354,0.11314563453197479,0.9721571207046509,0.9690330028533936,0.9893348217010498,0.9340463280677795,0.15469224750995636,0.9490291476249695,0.9606879353523254,0.9834232330322266
17,0.960914134979248,0.10514629632234573,0.9764705896377563,0.9699094295501709,0.9906191229820251,0.9180035591125488,0.18992887437343597,0.9762532711029053,0.9090909361839294,0.9821467399597168
18,0.9613413214683533,0.10509946197271347,0.9745315909385681,0.9725387096405029,0.9901362061500549,0.9215686321258545,0.18615715205669403,0.9689922332763672,0.9213759303092957,0.9808226823806763
19,0.968176007270813,0.0961521565914154,0.9780957698822021,0.9783815145492554,0.9914528131484985,0.9055258631706238,0.22133956849575043,0.9836065769195557,0.8845208883285522,0.9847553372383118
20,0.9636907577514648,0.10395266115665436,0.977399468421936,0.9728308320045471,0.9903609752655029,0.9286987781524658,0.17885489761829376,0.9669210910797119,0.9336609244346619,0.980272114276886
21,0.9664673209190369,0.08793003857135773,0.9777647852897644,0.9763365387916565,0.9938855171203613,0.9340463280677795,0.15738897025585175,0.9671717286109924,0.9410319328308105,0.9838460683822632
