epoca,accuracy,loss,precision,recall,roc_auc,val_accuracy,val_loss,val_precision,val_recall,val_roc_auc
1,0.8750534057617188,0.2941277027130127,0.9068233966827393,0.9240432381629944,0.9308606386184692,0.9251337051391602,0.19555328786373138,0.9551122188568115,0.9410319328308105,0.9714653491973877
2,0.9354976415634155,0.17558839917182922,0.9516642689704895,0.9605609178543091,0.9749945998191833,0.9251337051391602,0.16253867745399475,0.9506173133850098,0.9459459185600281,0.9774163365364075
3,0.944895327091217,0.14571687579154968,0.9572377800941467,0.967864453792572,0.9821188449859619,0.9376114010810852,0.19032779335975647,0.9818652868270874,0.9312039017677307,0.981037974357605
4,0.9478855133056641,0.13822339475154877,0.9640876054763794,0.9646508693695068,0.9839590191841125,0.9465240836143494,0.13886797428131104,0.9586374759674072,0.9680589437484741,0.9822345972061157
5,0.9500213861465454,0.12985791265964508,0.9639220237731934,0.967864453792572,0.9857269525527954,0.9465240836143494,0.13095490634441376,0.9631449580192566,0.9631449580192566,0.9838220477104187
6,0.9540794491767883,0.12785717844963074,0.9670937657356262,0.9702015519142151,0.9862797260284424,0.9411764740943909,0.1418134719133377,0.9369158744812012,0.9852579832077026,0.9844920635223389
7,0.9562153220176697,0.1161210909485817,0.9677325487136841,0.9725387096405029,0.9882349967956543,0.9483066201210022,0.13312125205993652,0.9748743772506714,0.9533169269561768,0.9873480200767517
8,0.9572831988334656,0.11564445495605469,0.9688681960105896,0.9728308320045471,0.9887142181396484,0.9590017795562744,0.11901108920574188,0.9729064106941223,0.9705159664154053,0.9882414937019348
9,0.9592054486274719,0.11018349975347519,0.9719626307487488,0.9722465872764587,0.9896906018257141,0.9590017795562744,0.1143036037683487,0.9637681245803833,0.9803439974784851,0.986781656742096
10,0.9587783217430115,0.10959295183420181,0.9711201786994934,0.9725387096405029,0.989399254322052,0.9607843160629272,0.11289623379707336,0.9729729890823364,0.9729729890823364,0.9892545342445374
11,0.9643315076828003,0.10188337415456772,0.9740827083587646,0.9772129654884338,0.9903950095176697,0.9518716335296631,0.12481296062469482,0.9797979593276978,0.9533169269561768,0.9890152812004089
12,0.960914134979248,0.09843794256448746,0.9703832864761353,0.9763365387916565,0.9920512437820435,0.9643493890762329,0.10669246315956116,0.9731051325798035,0.977886974811554,0.9901559948921204
13,0.9592054486274719,0.10342026501893997,0.9700407385826111,0.9742915630340576,0.9898513555526733,0.9554367065429688,0.11845821142196655,0.9751243591308594,0.9631449580192566,0.9894460439682007
14,0.9647586345672607,0.10198666900396347,0.9727219939231873,0.9792579412460327,0.9908902049064636,0.9607843160629272,0.10758866369724274,0.9661017060279846,0.9803439974784851,0.9902437925338745
15,0.9596326351165771,0.10644418746232986,0.9697850346565247,0.975167989730835,0.9905787706375122,0.9625668525695801,0.10957954078912735,0.9753694534301758,0.9729729890823364,0.9904431104660034
16,0.9604869484901428,0.09919863194227219,0.9703660607337952,0.9757522344589233,0.99159836769104,0.9643493890762329,0.10709413886070251,0.9754299521446228,0.9754299521446228,0.9904673099517822
17,0.9628363847732544,0.09813118726015091,0.9718269109725952,0.977505087852478,0.9916200041770935,0.9554367065429688,0.11412691324949265,0.979899525642395,0.9582309722900391,0.9898208975791931
